Characteristic	Subcharacteristics	Definition	External Practice Source	External Practice Name	External Practice Group	Score Annotator A	Score Annotator B
Modifiability	Extensibility	The ease with which a system can be modified, in order to be used for another purpose.	Serban	Automate Model Deployment	Deployment	4	3
Modifiability	Extensibility	The ease with which a system can be modified, in order to be used for another purpose.	Serban	Enable Shadow Deployment	Deployment	2	3
Modifiability	Extensibility	The ease with which a system can be modified, in order to be used for another purpose.	Serban	Continuously Monitor the Behaviour of Deployed Models	Deployment	0	1
Modifiability	Extensibility	The ease with which a system can be modified, in order to be used for another purpose.	Serban	Perform Checks to Detect Skew between Models	Deployment	0	1
Modifiability	Extensibility	The ease with which a system can be modified, in order to be used for another purpose.	Serban	Enable Automatic Roll Backs for Production Models	Deployment	0	1
Modifiability	Extensibility	The ease with which a system can be modified, in order to be used for another purpose.	Serban	Provide Audit Trails	Deployment	0	1
Modifiability	Extensibility	The ease with which a system can be modified, in order to be used for another purpose.	Serban	Use A Collaborative Development Platform	Team	2	3
Modifiability	Extensibility	The ease with which a system can be modified, in order to be used for another purpose.	Serban	Work Against a Shared Backlog	Team	0	1
Modifiability	Extensibility	The ease with which a system can be modified, in order to be used for another purpose.	Serban	Communicate, Align, and Collaborate With Others	Team	2	3
Modifiability	Extensibility	The ease with which a system can be modified, in order to be used for another purpose.	Serban	Decide Trade-Offs through Defined Team Process	Team	0	1
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Use Sanity Checks for All External Data Sources	Data	2	1
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Write Reusable Scripts for Data Cleaning and Merging	Data	2	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Make Data Sets Available on Shared Infrastructure (private or public)	Data	2	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Test all Feature Extraction Code	Training	4	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Assign an Owner to Each Feature and Document its Rationale	Training	3	4
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Actively Remove or Archive Features That are Not Used	Training	2	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Peer Review Training Scripts	Training	2	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Automate Feature Generation and Selection	Training	4	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Continuously Measure Model Quality and Performance	Training	2	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Use Versioning for Data, Model, Configurations and Training Scripts	Training	4	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Run Automated Regression Tests	Coding	4	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Use Continuous Integration	Coding	2	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Automate Model Deployment	Deployment	4	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Enable Shadow Deployment	Deployment	3	2
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Continuously Monitor the Behaviour of Deployed Models	Deployment	2	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Perform Checks to Detect Skew between Models	Deployment	2	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Use A Collaborative Development Platform	Team	4	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Communicate, Align, and Collaborate With Others	Team	2	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Decide Trade-Offs through Defined Team Process	Team	2	3
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Establish Responsible AI Values	Governance	1	0
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Enforce Fairness and Privacy	Governance	1	0
Modifiability	Maintainability	The ease with which activities aiming at keeping an ML system functional in the desired regime, can be performed.	Serban	Have Your Application Audited	Governance	1	0
Modifiability	Modularity	The extent to which an ML system consists of components of limited functionality that interrelate with each other.	Serban	Write Reusable Scripts for Data Cleaning and Merging	Data	3	4
Modifiability	Modularity	The extent to which an ML system consists of components of limited functionality that interrelate with each other.	Serban	Capture the Training Objective in a Metric that is Easy to Measure and Understand	Training	0	1
Modifiability	Modularity	The extent to which an ML system consists of components of limited functionality that interrelate with each other.	Serban	Peer Review Training Scripts	Training	2	3
Modifiability	Modularity	The extent to which an ML system consists of components of limited functionality that interrelate with each other.	Serban	Automate Feature Generation and Selection	Training	3	2
Modifiability	Modularity	The extent to which an ML system consists of components of limited functionality that interrelate with each other.	Serban	Automate Hyper-Parameter Optimisation	Training	3	2
Modifiability	Modularity	The extent to which an ML system consists of components of limited functionality that interrelate with each other.	Serban	Automate Configuration of Algorithms or Model Structure	Training	3	2
Modifiability	Modularity	The extent to which an ML system consists of components of limited functionality that interrelate with each other.	Serban	Use Continuous Integration	Coding	1	2
Modifiability	Modularity	The extent to which an ML system consists of components of limited functionality that interrelate with each other.	Serban	Use Static Analysis to Check Code Quality	Coding	2	3
Modifiability	Modularity	The extent to which an ML system consists of components of limited functionality that interrelate with each other.	Serban	Work Against a Shared Backlog	Team	1	0
Modifiability	Modularity	The extent to which an ML system consists of components of limited functionality that interrelate with each other.	Serban	Communicate, Align, and Collaborate With Others	Team	2	1
Modifiability	Modularity	The extent to which an ML system consists of components of limited functionality that interrelate with each other.	Serban	Have Your Application Audited	Governance	1	0
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Write Reusable Scripts for Data Cleaning and Merging	Data	2	3
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Ensure Data Labelling is Performed in a Strictly Controlled Process	Data	1	0
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Prevent Discriminatory Data Attributes Used As Model Features	Data	1	0
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Assign an Owner to Each Feature and Document its Rationale	Training	1	0
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Actively Remove or Archive Features That are Not Used	Training	1	2
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Peer Review Training Scripts	Training	2	3
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Automate Feature Generation and Selection	Training	2	1
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Automate Hyper-Parameter Optimisation	Training	2	1
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Automate Configuration of Algorithms or Model Structure	Training	2	1
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Run Automated Regression Tests	Coding	4	3
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Use Continuous Integration	Coding	2	3
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Use Static Analysis to Check Code Quality	Coding	3	2
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Assure Application Security	Coding	1	0
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Enable Shadow Deployment	Deployment	1	0
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Perform Checks to Detect Skew between Models	Deployment	1	0
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Use A Collaborative Development Platform	Team	1	0
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Decide Trade-Offs through Defined Team Process	Team	1	0
Modifiability	Testability	The extent with which an ML system can be tested against expected behaviours.	Serban	Have Your Application Audited	Governance	1	0
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Use Privacy-Preserving Machine Learning Techniques	Data	1	0
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Assign an Owner to Each Feature and Document its Rationale	Training	0	1
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Enable Parallel Training Experiments	Training	1	2
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Enable Shadow Deployment	Deployment	3	4
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Log Production Predictions with the Model's Version and Input Data	Deployment	0	1
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Provide Audit Trails	Deployment	0	1
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Perform Risk Assessments	Governance	1	0
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Inform Users on Machine Learning Usage	Governance	0	1
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Explain Results and Decisions to Users	Governance	0	1
Productionizability	Deployability	The extent to which an ML system can be deployed in production when needed.	Serban	Have Your Application Audited	Governance	1	0
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Use Sanity Checks for All External Data Sources	Data	2	3
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Check that Input Data is Complete, Balanced and Well Distributed	Data	2	3
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Ensure Data Labelling is Performed in a Strictly Controlled Process	Data	0	1
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Make Data Sets Available on Shared Infrastructure (private or public)	Data	1	2
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Share a Clearly Defined Training Objective within the Team	Training	0	1
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Capture the Training Objective in a Metric that is Easy to Measure and Understand	Training	0	1
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Actively Remove or Archive Features That are Not Used	Training	1	2
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Peer Review Training Scripts	Training	2	3
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Use Continuous Integration	Coding	2	3
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Enable Automatic Roll Backs for Production Models	Deployment	2	3
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Provide Audit Trails	Deployment	1	0
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Work Against a Shared Backlog	Team	1	0
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Decide Trade-Offs through Defined Team Process	Team	1	0
Productionizability	Repeatability	The ease with which the ML lifecycle can be repeated.	Serban	Have Your Application Audited	Governance	1	0
Productionizability	Operability	The extent to which an ML system can be controlled (disable, revert, upload new version, etc.).	Serban	Peer Review Training Scripts	Training	1	0
Productionizability	Operability	The extent to which an ML system can be controlled (disable, revert, upload new version, etc.).	Serban	Use Continuous Integration	Coding	1	0
Productionizability	Operability	The extent to which an ML system can be controlled (disable, revert, upload new version, etc.).	Serban	Automate Model Deployment	Deployment	2	3
Productionizability	Operability	The extent to which an ML system can be controlled (disable, revert, upload new version, etc.).	Serban	Log Production Predictions with the Model's Version and Input Data	Deployment	0	1
Productionizability	Operability	The extent to which an ML system can be controlled (disable, revert, upload new version, etc.).	Serban	Provide Audit Trails	Deployment	0	1
Productionizability	Operability	The extent to which an ML system can be controlled (disable, revert, upload new version, etc.).	Serban	Use A Collaborative Development Platform	Team	3	2
Productionizability	Operability	The extent to which an ML system can be controlled (disable, revert, upload new version, etc.).	Serban	Have Your Application Audited	Governance	1	0
Productionizability	Monitoring	The extent to which relevant indicators of an ML system are effectively observed/monitored and integrated in the operation of the system.	Serban	Use Sanity Checks for All External Data Sources	Data	2	3
Productionizability	Monitoring	The extent to which relevant indicators of an ML system are effectively observed/monitored and integrated in the operation of the system.	Serban	Check that Input Data is Complete, Balanced and Well Distributed	Data	2	3
Productionizability	Monitoring	The extent to which relevant indicators of an ML system are effectively observed/monitored and integrated in the operation of the system.	Serban	Test for Social Bias in Training Data	Data	1	0
Productionizability	Monitoring	The extent to which relevant indicators of an ML system are effectively observed/monitored and integrated in the operation of the system.	Serban	Assign an Owner to Each Feature and Document its Rationale	Training	0	1
Productionizability	Monitoring	The extent to which relevant indicators of an ML system are effectively observed/monitored and integrated in the operation of the system.	Serban	Use Versioning for Data, Model, Configurations and Training Scripts	Training	1	0
Productionizability	Monitoring	The extent to which relevant indicators of an ML system are effectively observed/monitored and integrated in the operation of the system.	Serban	Use Static Analysis to Check Code Quality	Coding	2	1
Productionizability	Monitoring	The extent to which relevant indicators of an ML system are effectively observed/monitored and integrated in the operation of the system.	Serban	Log Production Predictions with the Model's Version and Input Data	Deployment	0	1
Productionizability	Monitoring	The extent to which relevant indicators of an ML system are effectively observed/monitored and integrated in the operation of the system.	Serban	Provide Audit Trails	Deployment	1	2
Productionizability	Monitoring	The extent to which relevant indicators of an ML system are effectively observed/monitored and integrated in the operation of the system.	Serban	Use A Collaborative Development Platform	Team	1	0
Productionizability	Monitoring	The extent to which relevant indicators of an ML system are effectively observed/monitored and integrated in the operation of the system.	Serban	Work Against a Shared Backlog	Team	1	0
Productionizability	Monitoring	The extent to which relevant indicators of an ML system are effectively observed/monitored and integrated in the operation of the system.	Serban	Communicate, Align, and Collaborate With Others	Team	1	0
Productionizability	Monitoring	The extent to which relevant indicators of an ML system are effectively observed/monitored and integrated in the operation of the system.	Serban	Perform Risk Assessments	Governance	1	0
Productionizability	Monitoring	The extent to which relevant indicators of an ML system are effectively observed/monitored and integrated in the operation of the system.	Serban	Provide Safe Channels to Raise Concerns	Governance	1	0
Comprehensibility	Discoverability	The extent to which an ML system can be found (by means of performing a search in a database or any other information retrieval system).	Serban	Make Data Sets Available on Shared Infrastructure (private or public)	Data	1	0
Comprehensibility	Discoverability	The extent to which an ML system can be found (by means of performing a search in a database or any other information retrieval system).	Serban	Assign an Owner to Each Feature and Document its Rationale	Training	0	1
Comprehensibility	Discoverability	The extent to which an ML system can be found (by means of performing a search in a database or any other information retrieval system).	Serban	Peer Review Training Scripts	Training	1	0
Comprehensibility	Discoverability	The extent to which an ML system can be found (by means of performing a search in a database or any other information retrieval system).	Serban	Use Versioning for Data, Model, Configurations and Training Scripts	Training	0	1
Comprehensibility	Discoverability	The extent to which an ML system can be found (by means of performing a search in a database or any other information retrieval system).	Serban	Share Status and Outcomes of Experiments Within the Team	Training	0	1
Comprehensibility	Discoverability	The extent to which an ML system can be found (by means of performing a search in a database or any other information retrieval system).	Serban	Log Production Predictions with the Model's Version and Input Data	Deployment	0	1
Comprehensibility	Discoverability	The extent to which an ML system can be found (by means of performing a search in a database or any other information retrieval system).	Serban	Provide Audit Trails	Deployment	0	1
Comprehensibility	Discoverability	The extent to which an ML system can be found (by means of performing a search in a database or any other information retrieval system).	Serban	Work Against a Shared Backlog	Team	0	1
Comprehensibility	Discoverability	The extent to which an ML system can be found (by means of performing a search in a database or any other information retrieval system).	Serban	Communicate, Align, and Collaborate With Others	Team	2	3
Comprehensibility	Discoverability	The extent to which an ML system can be found (by means of performing a search in a database or any other information retrieval system).	Serban	Perform Risk Assessments	Governance	1	0
Comprehensibility	Readability	The ease with which the code of an ML system can be understood.	Serban	Assign an Owner to Each Feature and Document its Rationale	Training	1	0
Comprehensibility	Readability	The ease with which the code of an ML system can be understood.	Serban	Peer Review Training Scripts	Training	3	4
Comprehensibility	Readability	The ease with which the code of an ML system can be understood.	Serban	Automate Feature Generation and Selection	Training	1	0
Comprehensibility	Readability	The ease with which the code of an ML system can be understood.	Serban	Automate Hyper-Parameter Optimisation	Training	1	0
Comprehensibility	Readability	The ease with which the code of an ML system can be understood.	Serban	Automate Configuration of Algorithms or Model Structure	Training	1	0
Comprehensibility	Readability	The ease with which the code of an ML system can be understood.	Serban	Use Versioning for Data, Model, Configurations and Training Scripts	Training	0	1
Comprehensibility	Readability	The ease with which the code of an ML system can be understood.	Serban	Use Static Analysis to Check Code Quality	Coding	3	2
Comprehensibility	Readability	The ease with which the code of an ML system can be understood.	Serban	Provide Audit Trails	Deployment	1	0
Comprehensibility	Readability	The ease with which the code of an ML system can be understood.	Serban	Communicate, Align, and Collaborate With Others	Team	1	0
Comprehensibility	Readability	The ease with which the code of an ML system can be understood.	Serban	Perform Risk Assessments	Governance	1	0
Comprehensibility	Readability	The ease with which the code of an ML system can be understood.	Serban	Have Your Application Audited	Governance	1	0
Comprehensibility	Traceability	The ability to relate artifacts created during the development of an ML system to how they were generated.	Serban	Write Reusable Scripts for Data Cleaning and Merging	Data	1	0
Comprehensibility	Traceability	The ability to relate artifacts created during the development of an ML system to how they were generated.	Serban	Make Data Sets Available on Shared Infrastructure (private or public)	Data	2	3
Comprehensibility	Traceability	The ability to relate artifacts created during the development of an ML system to how they were generated.	Serban	Assign an Owner to Each Feature and Document its Rationale	Training	0	1
Comprehensibility	Traceability	The ability to relate artifacts created during the development of an ML system to how they were generated.	Serban	Use Versioning for Data, Model, Configurations and Training Scripts	Training	4	3
Comprehensibility	Traceability	The ability to relate artifacts created during the development of an ML system to how they were generated.	Serban	Use Continuous Integration	Coding	2	3
Comprehensibility	Traceability	The ability to relate artifacts created during the development of an ML system to how they were generated.	Serban	Use Static Analysis to Check Code Quality	Coding	1	0
Comprehensibility	Traceability	The ability to relate artifacts created during the development of an ML system to how they were generated.	Serban	Provide Audit Trails	Deployment	2	3
Comprehensibility	Traceability	The ability to relate artifacts created during the development of an ML system to how they were generated.	Serban	Work Against a Shared Backlog	Team	1	2
Comprehensibility	Traceability	The ability to relate artifacts created during the development of an ML system to how they were generated.	Serban	Communicate, Align, and Collaborate With Others	Team	1	2
Comprehensibility	Traceability	The ability to relate artifacts created during the development of an ML system to how they were generated.	Serban	Decide Trade-Offs through Defined Team Process	Team	0	1
Comprehensibility	Traceability	The ability to relate artifacts created during the development of an ML system to how they were generated.	Serban	Perform Risk Assessments	Governance	1	0
Comprehensibility	Understandability	The ease with which the implementation and design choices of an ML system can be understood.	Serban	Ensure Data Labelling is Performed in a Strictly Controlled Process	Data	1	2
Comprehensibility	Understandability	The ease with which the implementation and design choices of an ML system can be understood.	Serban	Use Versioning for Data, Model, Configurations and Training Scripts	Training	1	0
Comprehensibility	Understandability	The ease with which the implementation and design choices of an ML system can be understood.	Serban	Use Continuous Integration	Coding	1	2
Comprehensibility	Understandability	The ease with which the implementation and design choices of an ML system can be understood.	Serban	Log Production Predictions with the Model's Version and Input Data	Deployment	1	0
Comprehensibility	Understandability	The ease with which the implementation and design choices of an ML system can be understood.	Serban	Use A Collaborative Development Platform	Team	2	3
Comprehensibility	Understandability	The ease with which the implementation and design choices of an ML system can be understood.	Serban	Work Against a Shared Backlog	Team	2	3
Comprehensibility	Understandability	The ease with which the implementation and design choices of an ML system can be understood.	Serban	Communicate, Align, and Collaborate With Others	Team	2	3
Comprehensibility	Understandability	The ease with which the implementation and design choices of an ML system can be understood.	Serban	Explain Results and Decisions to Users	Governance	2	3
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Test for Social Bias in Training Data	Data	2	1
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Make Data Sets Available on Shared Infrastructure (private or public)	Data	1	2
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Test all Feature Extraction Code	Training	1	0
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Actively Remove or Archive Features That are Not Used	Training	1	0
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Peer Review Training Scripts	Training	1	0
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Continuously Measure Model Quality and Performance	Training	1	0
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Assess and Manage Subgroup Bias	Training	1	0
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Assure Application Security	Coding	1	0
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Continuously Monitor the Behaviour of Deployed Models	Deployment	1	0
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Work Against a Shared Backlog	Team	1	0
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Communicate, Align, and Collaborate With Others	Team	2	3
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Decide Trade-Offs through Defined Team Process	Team	1	0
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Establish Responsible AI Values	Governance	1	0
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Perform Risk Assessments	Governance	1	0
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Enforce Fairness and Privacy	Governance	1	0
Comprehensibility	Usability	The extent to which an ML system can be effectively used by users.	Serban	Have Your Application Audited	Governance	1	0
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Use Sanity Checks for All External Data Sources	Data	3	2
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Employ Interpretable Models When Possible	Training	3	4
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Automate Feature Generation and Selection	Training	1	0
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Automate Hyper-Parameter Optimisation	Training	1	0
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Automate Configuration of Algorithms or Model Structure	Training	1	0
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Continuously Measure Model Quality and Performance	Training	1	0
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Assure Application Security	Coding	1	0
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Enable Automatic Roll Backs for Production Models	Deployment	1	0
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Provide Audit Trails	Deployment	3	4
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Use A Collaborative Development Platform	Team	2	1
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Work Against a Shared Backlog	Team	0	1
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Communicate, Align, and Collaborate With Others	Team	1	0
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Decide Trade-Offs through Defined Team Process	Team	1	0
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Perform Risk Assessments	Governance	1	0
Comprehensibility	Debuggability	The extent to which the inner workings of the ML system can be analyzed in order to understand why it behaves the way it does.	Serban	Have Your Application Audited	Governance	1	0
Responsibility	Explainability	The ability to explain the output of an ML system.	Serban	Log Production Predictions with the Model's Version and Input Data	Deployment	0	1
Responsibility	Explainability	The ability to explain the output of an ML system.	Serban	Provide Audit Trails	Deployment	3	4
Responsibility	Explainability	The ability to explain the output of an ML system.	Serban	Use A Collaborative Development Platform	Team	1	0
Responsibility	Explainability	The ability to explain the output of an ML system.	Serban	Communicate, Align, and Collaborate With Others	Team	1	0
Responsibility	Fairness	The extent to which an ML system prevents unjust predictions towards protected attributes (race, gender, income, etc).	Serban	Check that Input Data is Complete, Balanced and Well Distributed	Data	1	0
Responsibility	Fairness	The extent to which an ML system prevents unjust predictions towards protected attributes (race, gender, income, etc).	Serban	Use Privacy-Preserving Machine Learning Techniques	Data	3	4
Responsibility	Fairness	The extent to which an ML system prevents unjust predictions towards protected attributes (race, gender, income, etc).	Serban	Employ Interpretable Models When Possible	Training	1	0
Responsibility	Fairness	The extent to which an ML system prevents unjust predictions towards protected attributes (race, gender, income, etc).	Serban	Assure Application Security	Coding	1	0
Responsibility	Fairness	The extent to which an ML system prevents unjust predictions towards protected attributes (race, gender, income, etc).	Serban	Work Against a Shared Backlog	Team	1	0
Responsibility	Fairness	The extent to which an ML system prevents unjust predictions towards protected attributes (race, gender, income, etc).	Serban	Perform Risk Assessments	Governance	3	4
Responsibility	Fairness	The extent to which an ML system prevents unjust predictions towards protected attributes (race, gender, income, etc).	Serban	Inform Users on Machine Learning Usage	Governance	1	2
Responsibility	Fairness	The extent to which an ML system prevents unjust predictions towards protected attributes (race, gender, income, etc).	Serban	Explain Results and Decisions to Users	Governance	1	2
Responsibility	Fairness	The extent to which an ML system prevents unjust predictions towards protected attributes (race, gender, income, etc).	Serban	Provide Safe Channels to Raise Concerns	Governance	3	4
Responsibility	Ownership	The extent to which there exists people appointed to maintaining the ML System and supporting all the relevant stakeholders.	Serban	Test for Social Bias in Training Data	Data	1	0
Responsibility	Ownership	The extent to which there exists people appointed to maintaining the ML System and supporting all the relevant stakeholders.	Serban	Make Data Sets Available on Shared Infrastructure (private or public)	Data	0	1
Responsibility	Ownership	The extent to which there exists people appointed to maintaining the ML System and supporting all the relevant stakeholders.	Serban	Share a Clearly Defined Training Objective within the Team	Training	1	2
Responsibility	Ownership	The extent to which there exists people appointed to maintaining the ML System and supporting all the relevant stakeholders.	Serban	Peer Review Training Scripts	Training	1	0
Responsibility	Ownership	The extent to which there exists people appointed to maintaining the ML System and supporting all the relevant stakeholders.	Serban	Share Status and Outcomes of Experiments Within the Team	Training	1	2
Responsibility	Ownership	The extent to which there exists people appointed to maintaining the ML System and supporting all the relevant stakeholders.	Serban	Provide Audit Trails	Deployment	2	1
Responsibility	Ownership	The extent to which there exists people appointed to maintaining the ML System and supporting all the relevant stakeholders.	Serban	Use A Collaborative Development Platform	Team	2	3
Responsibility	Ownership	The extent to which there exists people appointed to maintaining the ML System and supporting all the relevant stakeholders.	Serban	Work Against a Shared Backlog	Team	1	2
Responsibility	Ownership	The extent to which there exists people appointed to maintaining the ML System and supporting all the relevant stakeholders.	Serban	Decide Trade-Offs through Defined Team Process	Team	1	2
Responsibility	Ownership	The extent to which there exists people appointed to maintaining the ML System and supporting all the relevant stakeholders.	Serban	Establish Responsible AI Values	Governance	1	0
Responsibility	Standards Compliance	The extent to which applicable standards are followed in the ML system.	Serban	Use Sanity Checks for All External Data Sources	Data	1	0
Responsibility	Standards Compliance	The extent to which applicable standards are followed in the ML system.	Serban	Test for Social Bias in Training Data	Data	2	3
Responsibility	Standards Compliance	The extent to which applicable standards are followed in the ML system.	Serban	Ensure Data Labelling is Performed in a Strictly Controlled Process	Data	1	0
Responsibility	Standards Compliance	The extent to which applicable standards are followed in the ML system.	Serban	Prevent Discriminatory Data Attributes Used As Model Features	Data	2	3
Responsibility	Standards Compliance	The extent to which applicable standards are followed in the ML system.	Serban	Make Data Sets Available on Shared Infrastructure (private or public)	Data	1	0
Responsibility	Standards Compliance	The extent to which applicable standards are followed in the ML system.	Serban	Share a Clearly Defined Training Objective within the Team	Training	1	0
Responsibility	Standards Compliance	The extent to which applicable standards are followed in the ML system.	Serban	Share Status and Outcomes of Experiments Within the Team	Training	1	0
